1304712787.446945	23739	0	0	0	0	0	0	0	0	0
1304712787.447158	23739	0	0	0	0	0	0	0	0	0
1304712787.472757	23764	0	0	0	0	0	0	0	0	0
1304712787.473270	23765	0	0	0	0	0	0	0	0	0
1304712787.473418	23765	0	0	0	0	0	0	0	0	0
1304712787.473602	23765	0	0	0	0	0	0	0	0	0
1304712787.473742	23765	0	0	0	0	0	0	0	0	0
1304712787.473917	23766	0	0	0	0	0	0	0	0	0
1304712787.474051	23766	0	0	0	0	0	0	0	0	0
1304712787.474184	23766	0	0	0	0	0	0	0	0	0
1304712787.474316	23766	0	0	0	0	0	0	0	0	0
1304712787.474451	23766	0	0	0	0	0	0	0	0	0
1304712787.474602	23766	1	570	627	0	0	0	0	0	0
1304712787.474737	23766	1	578	631	0	0	0	8	0	0
1304712787.474871	23767	1	585	658	0	0	0	31	0	0
1304712787.475074	23767	1	589	692	0	0	0	34	0	0
1304712787.475269	23767	1	591	718	1	591	743	60	4	1
1304712787.475481	23767	1	592	740	1	591	744	22	4	2
1304712787.475675	23767	1	590	741	1	591	744	12	4	3
1304712787.475869	23768	1	589	734	1	590	745	2	4	4
1304712787.476106	23768	1	590	737	1	590	745	3	4	5
1304712787.476668	23768	1	591	745	1	590	745	11	4	6
1304712787.476871	23769	1	590	748	1	590	745	12	4	7
1304712787.477064	23769	1	594	750	1	590	745	12	4	8
1304712787.477253	23769	1	593	751	1	590	745	12	4	9
1304712787.477443	23769	1	592	751	1	589	746	10	4	10
1304712787.477631	23769	1	591	752	1	589	746	10	4	11
1304712787.477830	23770	1	590	752	1	589	746	9	4	12
1304712787.478019	23770	1	590	755	1	589	746	11	4	13
1304712787.478209	23770	1	591	753	1	589	747	8	4	14
1304712787.478398	23770	1	590	752	1	588	747	7	4	15
1304712787.478524	23770	1	588	750	1	588	746	5	4	16
1304712787.478750	23770	1	589	747	1	588	746	2	4	17
1304712787.478883	23771	1	587	747	1	588	746	3	4	18
1304712787.479048	23771	1	587	747	1	588	746	3	4	19
1304712787.479181	23771	1	587	747	1	588	746	3	4	20
1304712787.479363	23771	1	585	750	1	588	746	6	4	21
1304712787.479497	23771	1	587	753	1	588	746	7	4	22
1304712787.479627	23771	1	587	752	1	588	746	6	4	23
1304712787.479767	23771	1	584	754	1	588	746	9	4	24
1304712787.479897	23772	1	583	751	1	588	746	7	4	25
1304712787.480053	23772	1	582	749	1	588	746	7	4	26
1304712787.497868	23790	1	583	733	2	588	746	15	4	27
1304712787.498023	23790	1	572	685	0	0	0	63	0	0
1304712787.504916	23797	1	568	615	0	0	0	70	0	0
